_id: 63f330e387980732804893c3, name: 스포타임
_id: 63f330e387980732804893f2, name: 태화기독교사회복지관
_id: 63f330e387980732804893f4, name: 동대문종합사회복지관
_id: 63f330e3879807328048940a, name: 중곡문화체육센터
_id: 63f330e3879807328048940f, name: 목동문화체육센터
_id: 63f330e38798073280489411, name: 이태원초등학교
_id: 63f330e38798073280489437, name: 시립문래청소년센터
_id: 63f330e387980732804893c6, name: 북성스포츠센터
_id: 63f330e38798073280489447, name: 신정스포츠센터
_id: 63f330e3879807328048946f, name: 양천구민체육센터
_id: 63f330e38798073280489408, name: 관악구민종합체육센터
_id: 643eae5e077163fc3655ce2d, name: 구리시청소년수련관
_id: 643eae5e077163fc3655ce35, name: 진접체육문화센터
_id: 63f330e3879807328048941d, name: 종로문화체육센터
_id: 643eae5e077163fc3655ce36, name: 남양주체육문화센터
_id: 643eae5e077163fc3655ce44, name: 중원청소년수련관 수영장
_id: 643eae5e077163fc3655ce4b, name: 장안구민회관
_id: 643eae5e077163fc3655ce51, name: 정왕평생학습관 수영장
_id: 63f330e38798073280489439, name: 동작삼일수영장
_id: 63f330e38798073280489459, name: 사당문화회관
_id: 63f330e38798073280489465, name: 노원청소년센터
_id: 643eae5e077163fc3655ce34, name: 와부체육문화센터
_id: 643eae5e077163fc3655ce39, name: 오남체육문화센터
_id: 643eae5e077163fc3655ce4c, name: 광교체육센터
_id: 643eae5e077163fc3655ce4e, name: 광교웰빙국민체육센터
_id: 643eae5e077163fc3655ce69, name: 오산스포츠센터
_id: 643eae5e077163fc3655ce6e, name: 발렌스 스포츠센터
_id: 643eae5e077163fc3655ce75, name: 이천스포츠센터
_id: 643eae5e077163fc3655ce78, name: 의정부시청소년수련관
_id: 643eae5e077163fc3655ce7b, name: 코오롱스포렉스 교하점
_id: 643eae5e077163fc3655ce81, name: 하남국민체육센터 수영장
_id: 643eae5e077163fc3655ce84, name: 화성국민체육센터
_id: 643eae5e077163fc3655ce91, name: 인천시청소년수련관
_id: 643eae5e077163fc3655ce95, name: 미추홀구 국민체육센터
_id: 643eae5e077163fc3655ceba, name: 대전 체육재활원
_id: 643eae5e077163fc3655cebb, name: 화천국민문화체육센터
_id: 643eae5e077163fc3655cec3, name: 대전월드컵스포츠센터
_id: 643eae5e077163fc3655cecd, name: 한솔중학교 수영장
_id: 643eae5e077163fc3655ced1, name: 세종 장애인형 국민체육센터
_id: 643eae5e077163fc3655cedc, name: 서산국민체육센터
_id: 643eae5e077163fc3655cee3, name: 한들문화센터
_id: 643eae5e077163fc3655cee4, name: 천안SMC수영장
_id: 643eae5e077163fc3655ceed, name: 제천올림픽스포츠센터
_id: 643eae5e077163fc3655cf04, name: 사상국민체육센터
_id: 643eae5e077163fc3655cf21, name: 사천 실내수영장
_id: 643eae5e077163fc3655cf2d, name: 창원 올림픽기념국민생활관
_id: 643eae5e077163fc3655cf3f, name: 구미시청소년수련관
_id: 643eae5e077163fc3655cf56, name: 포항수영장
_id: 643eae5e077163fc3655cf62, name: 아양아트센터
_id: 643eae5e077163fc3655cf71, name: 곡성교육문화회관
_id: 643eae5e077163fc3655cf84, name: 완도실내수영장
_id: 643eae5e077163fc3655ce63, name: 양서에코힐링센터
_id: 643eae5e077163fc3655ce6b, name: 용인시청소년수련관
_id: 643eae5e077163fc3655ce6f, name: 아르피아스포츠센터
_id: 643eae5e077163fc3655ce83, name: 유앤아이센터 수영장
_id: 643eae5e077163fc3655ce8b, name: 반월체육센터
_id: 643eae5e077163fc3655ce90, name: 남동국민체육센터
_id: 643eae5e077163fc3655ce92, name: 남동수영장
_id: 643eae5e077163fc3655ce96, name: 문학 박태환 수영장
_id: 643eae5e077163fc3655ce9d, name: 청라복합문화센터
_id: 643eae5e077163fc3655cea6, name: 종합사회복지관웰빙센터
_id: 643eae5e077163fc3655ceb6, name: 토마토수영장
