_id: 63f330e387980732804893c1, name: 충무스포츠센터
_id: 63f330e387980732804893c5, name: 삼모스포렉스
_id: 63f330e387980732804893c4, name: 금호스포츠센터
_id: 63f330e387980732804893c9, name: 은평구민체육센터
_id: 63f330e387980732804893cb, name: 성동구민종합체육센터
_id: 63f330e387980732804893d4, name: 성동교육문화관
_id: 63f330e387980732804893d8, name: 서울스포츠클럽
_id: 63f330e387980732804893dc, name: 길음푸르지오스포츠센터
_id: 63f330e387980732804893e6, name: IYC스포츠센터
_id: 63f330e387980732804893e9, name: 월드컵스파랜드24
_id: 63f330e387980732804893ed, name: 포이스포츠센터
_id: 63f330e387980732804893fe, name: 곰두리체육센터
_id: 63f330e3879807328048940b, name: 초당스포츠센터
_id: 63f330e3879807328048940c, name: 연촌스포츠센터
_id: 63f330e38798073280489415, name: 중곡스포렉스
_id: 63f330e38798073280489419, name: 금천청소년센터
_id: 63f330e3879807328048941b, name: 대우스포츠센터
_id: 63f330e3879807328048941c, name: 시립서대문청소년센터
_id: 63f330e38798073280489426, name: 시립구로청소년수련관
_id: 63f330e38798073280489427, name: DMC 센트럴아이파크 스포츠센터
_id: 63f330e3879807328048942f, name: 더논현 스포츠센터
_id: 63f330e38798073280489438, name: 용산청소년수련관수영장
_id: 63f330e38798073280489442, name: 서울YWCA스포츠센터(명동YWCA)
_id: 63f330e38798073280489444, name: 숭인스포츠센터
_id: 63f330e38798073280489446, name: 서울특별시교육청 마포평생학습관수영장
_id: 63f330e387980732804893c7, name: 구로구민체육센터
_id: 63f330e3879807328048944a, name: 소의체육문화센터
_id: 63f330e387980732804893d3, name: 올림픽기념국민생활관
_id: 63f330e387980732804893d5, name: 마린스포츠센터
_id: 63f330e38798073280489453, name: 삼성스포렉스
_id: 63f330e387980732804893e1, name: 청구교육문화관
_id: 63f330e38798073280489456, name: 서부여성발전센터
_id: 63f330e38798073280489458, name: 유성스포츠센터
_id: 63f330e387980732804893e5, name: 삼정스포츠 수영장
_id: 63f330e387980732804893e7, name: 정립회관수영장
_id: 63f330e3879807328048945d, name: 옥정스포렉스
_id: 63f330e387980732804893ee, name: 코오롱스포렉스서초점
_id: 63f330e387980732804893f6, name: 장위연스포츠센터
_id: 63f330e38798073280489464, name: 노블레스수영장
_id: 63f330e38798073280489469, name: 노보텔 앰배서더 서울 강남
_id: 63f330e387980732804893f8, name: 송파구체육문화회관
_id: 63f330e387980732804893fb, name: 중랑문화체육관
_id: 63f330e38798073280489409, name: 상경스포츠센터
_id: 63f330e38798073280489410, name: 용산초등학교수영장
_id: 63f330e38798073280489414, name: 봉래체육문화센터
_id: 63f330e3879807328048941a, name: 서울시립망우청소년센터
_id: 63f330e38798073280489425, name: 영희스포츠센터
_id: 63f330e38798073280489428, name: 신석스포렉스
_id: 63f330e3879807328048942a, name: 동부여성발전센터
_id: 63f330e38798073280489430, name: 구로남 체육센터
_id: 63f330e38798073280489434, name: 문정교육회관
_id: 63f330e38798073280489445, name: JG전곡스포츠센터
_id: 63f330e38798073280489449, name: 방배현대스포츠클럽
_id: 63f330e3879807328048944d, name: 웰페리온
_id: 63f330e3879807328048944e, name: 목동애시앙
_id: 63f330e3879807328048945e, name: 효창종합사회복지관
_id: 643eae5e077163fc3655ce5d, name: 박달복합청사 수영장
_id: 643eae5e077163fc3655cf30, name: 마산실내체육관
_id: 643eae5e077163fc3655cf80, name: 영광스포티움실내수영장
_id: 63f330e387980732804893bb, name: 잠실 제1수영장
_id: 63f330e387980732804893c0, name: 엠벨리레포츠
_id: 63f330e387980732804893c2, name: 삼성레포츠센터
_id: 63f330e387980732804893c8, name: 서대문문화체육회관
_id: 63f330e387980732804893ca, name: 서부재활체육센터
_id: 63f330e387980732804893cf, name: 일흥스포타운
_id: 63f330e387980732804893d0, name: 한전아트센터스포츠클럽
_id: 63f330e387980732804893d1, name: 시립동대문청소년센터
_id: 63f330e387980732804893d2, name: 동영휘트니스클럽
_id: 63f330e387980732804893d9, name: 서울여성플라자스포츠센터
_id: 63f330e387980732804893db, name: 면일체육문화센터
_id: 63f330e387980732804893dd, name: 아현스포렉스
_id: 63f330e387980732804893de, name: 성일스포렉스
_id: 63f330e387980732804893e0, name: 금나래문화체육센터
_id: 63f330e387980732804893e4, name: 은평통일로스포츠센터
_id: 63f330e387980732804893ef, name: 서초종합체육관
_id: 63f330e38798073280489400, name: 경서스포츠센터
_id: 63f330e3879807328048940d, name: 헬리오시티수영장
_id: 63f330e38798073280489429, name: 불광스포렉스
_id: 63f330e3879807328048943f, name: 신도림생활체육관
_id: 63f330e38798073280489441, name: 시립성북청소년센터
_id: 63f330e3879807328048944b, name: 방배열린문화센터
_id: 63f330e3879807328048944c, name: 언남문화체육센터
_id: 63f330e38798073280489450, name: 로제우스
_id: 63f330e38798073280489452, name: 신사스포츠센터
_id: 63f330e3879807328048945a, name: 용산구문화체육센터
_id: 63f330e38798073280489466, name: 도봉실내스포츠센터
_id: 63f330e38798073280489467, name: 슈버빌 스포츠 클럽
_id: 63f330e387980732804893bc, name: 올림픽수영장
_id: 63f330e387980732804893bf, name: 현대프라임스포츠센터
_id: 63f330e387980732804893d6, name: 평화스포웰빙 휘트니스클럽
_id: 63f330e387980732804893d7, name: 서초구민체육센터
_id: 63f330e387980732804893df, name: 시립강북청소년센터
_id: 63f330e387980732804893e3, name: 미진스포츠타운
_id: 63f330e387980732804893f7, name: 창동문화체육센터
_id: 63f330e387980732804893ff, name: 고척체육센터
_id: 63f330e38798073280489401, name: 화계초등학교 스포츠센터
_id: 63f330e38798073280489402, name: 금천구민문화체육센터
_id: 63f330e3879807328048940e, name: 물빛수영장
_id: 63f330e38798073280489412, name: 종로구민회관
_id: 63f330e38798073280489413, name: 청운스포렉스
_id: 63f330e38798073280489416, name: 고덕사회체육센터
_id: 63f330e3879807328048941f, name: 50플러스
_id: 63f330e38798073280489422, name: 갈월종합사회복지관
_id: 63f330e38798073280489423, name: 시그마 스포츠클럽
_id: 63f330e3879807328048942b, name: 삼성골드스포츠클럽
_id: 63f330e38798073280489431, name: 성동구립 용답체육센터
_id: 63f330e38798073280489433, name: 헬스보이짐
_id: 63f330e38798073280489451, name: 마포푸르메스포츠센터
_id: 63f330e38798073280489454, name: 증산스포츠센터
_id: 63f330e3879807328048945f, name: 서울 YMCA
_id: 63f330e38798073280489460, name: 헬스보이짐
_id: 63f330e38798073280489461, name: 삼육스포츠센터
_id: 63f330e38798073280489463, name: 우성스포츠센터
_id: 64bcf198326819cec2087327, name: 슈퍼스타 시그니쳐 성인수영장
_id: 64bcec7b326819cec2087325, name: 밀리토피아호텔 휘트니스센터
_id: 654a4f591c82896b722abc7c, name: 제로벨스포츠 밀론부티크&수영장
_id: 654aff501c82896b726d6c16, name: 아이풀 운서점
