_id: 63f330e387980732804893c1, name: 충무스포츠센터
_id: 63f330e387980732804893c5, name: 삼모스포렉스
_id: 63f330e387980732804893c4, name: 금호스포츠센터
_id: 63f330e387980732804893c9, name: 은평구민체육센터
_id: 63f330e387980732804893cb, name: 성동구민종합체육센터
_id: 63f330e387980732804893d8, name: 서울스포츠클럽
_id: 63f330e387980732804893da, name: 양천주민편익시설
_id: 63f330e387980732804893e6, name: IYC스포츠센터
_id: 63f330e387980732804893f2, name: 태화기독교사회복지관
_id: 63f330e387980732804893f4, name: 동대문종합사회복지관
_id: 63f330e387980732804893fe, name: 곰두리체육센터
_id: 63f330e38798073280489407, name: 강북웰빙스포츠센터
_id: 63f330e3879807328048940a, name: 중곡문화체육센터
_id: 63f330e3879807328048940f, name: 목동문화체육센터
_id: 63f330e38798073280489419, name: 금천청소년센터
_id: 63f330e3879807328048941b, name: 대우스포츠센터
_id: 63f330e3879807328048941c, name: 시립서대문청소년센터
_id: 63f330e38798073280489426, name: 시립구로청소년수련관
_id: 63f330e38798073280489437, name: 시립문래청소년센터
_id: 63f330e38798073280489438, name: 용산청소년수련관수영장
_id: 63f330e387980732804893c6, name: 북성스포츠센터
_id: 63f330e387980732804893cc, name: 열린금호교육문화관
_id: 63f330e3879807328048944f, name: 관악청소년회관
_id: 63f330e387980732804893d5, name: 마린스포츠센터
_id: 63f330e38798073280489453, name: 삼성스포렉스
_id: 63f330e387980732804893e7, name: 정립회관수영장
_id: 63f330e387980732804893e8, name: 돈암문화스포츠센터
_id: 63f330e387980732804893f6, name: 장위연스포츠센터
_id: 63f330e38798073280489464, name: 노블레스수영장
_id: 63f330e3879807328048946f, name: 양천구민체육센터
_id: 643eae5e077163fc3655ce26, name: 고양체육관
_id: 63f330e38798073280489408, name: 관악구민종합체육센터
_id: 643eae5e077163fc3655ce2d, name: 구리시청소년수련관
_id: 63f330e3879807328048941a, name: 서울시립망우청소년센터
_id: 63f330e3879807328048941d, name: 종로문화체육센터
_id: 643eae5e077163fc3655ce36, name: 남양주체육문화센터
_id: 643eae5e077163fc3655ce44, name: 중원청소년수련관 수영장
_id: 643eae5e077163fc3655ce58, name: 대부동복지체육센터
_id: 63f330e38798073280489439, name: 동작삼일수영장
_id: 63f330e3879807328048944d, name: 웰페리온
_id: 63f330e3879807328048944e, name: 목동애시앙
_id: 63f330e38798073280489459, name: 사당문화회관
_id: 63f330e3879807328048945e, name: 효창종합사회복지관
_id: 63f330e38798073280489465, name: 노원청소년센터
_id: 643eae5e077163fc3655ce33, name: 김포한강스포츠센터
_id: 643eae5e077163fc3655ce34, name: 와부체육문화센터
_id: 643eae5e077163fc3655ce39, name: 오남체육문화센터
_id: 643eae5e077163fc3655ce3d, name: 소사국민체육센터
_id: 643eae5e077163fc3655ce55, name: 안산 선부다목적체육관
_id: 643eae5e077163fc3655ce62, name: 옥정호수스포츠센터
_id: 643eae5e077163fc3655ce69, name: 오산스포츠센터
_id: 643eae5e077163fc3655ce6e, name: 발렌스 스포츠센터
_id: 643eae5e077163fc3655ce7e, name: 코오롱스포렉스 동패점
_id: 643eae5e077163fc3655ce84, name: 화성국민체육센터
_id: 643eae5e077163fc3655ceb7, name: 대덕구청소년수련관
_id: 643eae5e077163fc3655ceba, name: 대전 체육재활원
_id: 643eae5e077163fc3655cec3, name: 대전월드컵스포츠센터
_id: 643eae5e077163fc3655cec7, name: 대전 서구국민체육센터
_id: 643eae5e077163fc3655cecd, name: 한솔중학교 수영장
_id: 643eae5e077163fc3655ced1, name: 세종 장애인형 국민체육센터
_id: 643eae5e077163fc3655cee4, name: 천안SMC수영장
_id: 643eae5e077163fc3655cf04, name: 사상국민체육센터
_id: 643eae5e077163fc3655cf0b, name: 수영구 국민체육센터
_id: 643eae5e077163fc3655cf28, name: 진주실내수영장
_id: 643eae5e077163fc3655cf36, name: 함양국민체육센터수영장
_id: 643eae5e077163fc3655cf3f, name: 구미시청소년수련관
_id: 643eae5e077163fc3655cf54, name: 청도군건강증진센터
_id: 643eae5e077163fc3655cf5a, name: 대구학생문화센터 수영장
_id: 643eae5e077163fc3655cf71, name: 곡성교육문화회관
_id: 643eae5e077163fc3655cf76, name: 담빛수영장
_id: 643eae5e077163fc3655cf80, name: 영광스포티움실내수영장
_id: 643eae5e077163fc3655cf83, name: 영암국민체육센터
_id: 643eae5e077163fc3655ce7a, name: 코오롱스포렉스 파주운정행복점
_id: 643eae5e077163fc3655ce88, name: 화성남부국민체육센터
_id: 643eae5e077163fc3655ce8b, name: 반월체육센터
_id: 643eae5e077163fc3655ce92, name: 남동수영장
_id: 643eae5e077163fc3655ce96, name: 문학 박태환 수영장
_id: 643eae5e077163fc3655ce9c, name: 인천 서구국민체육센터
_id: 643eae5e077163fc3655ce9d, name: 청라복합문화센터
_id: 643eae5e077163fc3655cea6, name: 종합사회복지관웰빙센터
_id: 643eae5e077163fc3655ceb6, name: 토마토수영장
_id: 643eae5e077163fc3655cec1, name: 관저다목적체육관
_id: 643eae5e077163fc3655cec4, name: 도마실국민체육센터
_id: 643eae5e077163fc3655cec9, name: 한밭 수영장
_id: 643eae5e077163fc3655ced0, name: 코오롱스포렉스 세종한솔점
_id: 643eae5e077163fc3655ced2, name: 조치원수영장
_id: 643eae5e077163fc3655cedb, name: 보령 국민체육센터
_id: 643eae5e077163fc3655cede, name: 아산 배방스포츠센터
_id: 643eae5e077163fc3655ceec, name: 맹동혁신국민체육센터 수영장
_id: 643eae5e077163fc3655cefb, name: 강서국민체육센터
_id: 643eae5e077163fc3655cf02, name: 부산진구 국민체육센터 수영장
_id: 643eae5e077163fc3655cf2b, name: 시민생활체육관
_id: 643eae5e077163fc3655cf33, name: 성산스포츠센터
_id: 643eae5e077163fc3655cf42, name: 북경주체육문화센터
_id: 643eae5e077163fc3655cf4a, name: 울진국민체육센터
_id: 643eae5e077163fc3655cf97, name: 완주군근로자종합복지관
_id: 643eae5e077163fc3655cf9e, name: 외도실내수영장
(외도 주민만 이용 가능)
_id: 645f25de3b0b92b6522cc400, name: 클래스윔 광안점
_id: 645f25de3b0b92b6522cc401, name: 육우수영장
_id: 64ae4f7a4d530437ed600588, name: 세이브존 스포츠센터
_id: 64ae4f7a4d530437ed60058a, name: 예체능수영장
_id: 64ae4f7a4d530437ed600597, name: 수정스포츠센터
_id: 64ae4f7a4d530437ed6005a4, name: 뉴스포츠센터
_id: 64ae4f7a4d530437ed6005b2, name: 이충문화체육센터 수영장
_id: 64ae4f7a4d530437ed6005ba, name: 동남스포피아
_id: 64ae4f7a4d530437ed6005c4, name: 기성종합복지관
_id: 64ae4f7a4d530437ed6005d4, name: 천안 조이풀수영장
_id: 64ae4f7a4d530437ed6005d8, name: 용곡C&C수영장
